Date and Time,Cycle Number,Step Type,Run Time (h),Step Time (h),Current (A),cell_voltage,Capacity (Ah),Temperature (°C),Circuit Temperature (°C),Energy (Wh),dVdt (V/h),dIdt (A/h),Step Number,Step position,Power(W)
2025-07-19 15:26:20,1,7,0.0,0.0,0.0,3.84318331,0.0,24.644,25.268,0.0,0.0,0.0,1,1,0.0
2025-07-19 15:26:21,1,7,0.0003556,0.0003556,0.49989602,3.85240349,0.00013502,24.648,25.27,0.00052012,0.0,0.0,1,0,1.92580115
2025-07-19 15:26:45,1,7,0.0069389,0.0069389,0.49999025,3.8574229,0.00342657,24.648,25.286,0.01321049,0.50194952,0.00077777,1,0,1.92867386
2025-07-19 15:27:39,1,7,0.0218972,0.0218972,0.49999133,3.8624314,0.01090561,24.651,25.288,0.04208114,0.25419798,-0.00120689,1,0,1.9311822
2025-07-19 15:28:39,1,7,0.0385639,0.0385639,0.4999923,3.8658675,0.01923882,24.658,25.278,0.07428274,0.17919688,-0.00067049,1,0,1.93290398
2025-07-19 15:29:39,1,7,0.0552722,0.0552722,0.4999931,3.86851695,0.02759287,24.65,25.287,0.10658983,0.14473357,-0.0001341,1,0,1.93423179
2025-07-19 15:30:39,1,7,0.0719806,0.0719806,0.49999304,3.87076853,0.03594692,24.663,25.296,0.13891725,0.12651016,0.00048275,1,0,1.93535731
2025-07-19 15:31:39,1,7,0.0886889,0.0886889,0.4999933,3.8727917,0.04430097,24.66,25.265,0.17126245,0.11460916,0.00075095,1,0,1.93636992
2025-07-19 15:32:40,1,7,0.1053972,0.1053972,0.49999347,3.87465146,0.05265503,24.657,25.282,0.20362384,0.10754294,0.0004023,1,0,1.93730044
2025-07-19 15:33:40,1,7,0.1221056,0.1221056,,3.8764167,0.06100908,24.656,25.325,0.23600034,0.10270817,0.00048275,1,0,1.93818175
2025-07-19 15:34:40,1,7,0.1388139,0.1388139,0.49999361,3.87810826,0.06936314,24.663,25.443,0.26839127,0.09880315,0.00042911,1,0,1.93902933
2025-07-19 15:35:40,1,7,0.1555222,0.1555222,0.4999926,3.87975286,0.07771719,24.662,25.461,0.30079613,0.09601386,-0.00045593,1,0,1.93984772
2025-07-19 15:36:40,1,7,0.1721889,0.1721889,0.49999273,3.88136802,0.08605042,24.668,25.458,0.33313374,0.09973293,-0.00091187,1,0,1.94065581
2025-07-19 15:37:40,1,7,0.1888972,0.1888972,0.49999337,3.8829473,0.09440447,24.665,25.481,0.36556553,0.09297663,-0.00018774,1,0,1.94144791
2025-07-19 15:38:40,1,7,0.2056056,0.2056056,0.4999926,3.88450985,0.10275853,24.677,25.509,0.39801047,0.09142702,-0.00085823,1,0,1.94222618
2025-07-19 15:39:40,1,7,0.2223139,0.2223139,,3.88605846,0.11111259,24.682,25.538,0.4304684,0.0939064,0.0002682,1,0,1.94300581
2025-07-19 15:40:41,1,7,0.2390222,0.2390222,0.4999932,3.88758637,0.11946664,24.679,25.515,0.46293915,0.09173695,-0.0002682,1,0,1.94376677
2025-07-19 15:41:41,1,7,0.2557306,0.2557306,0.49999304,3.889095,0.1278207,24.682,25.561,0.49542258,0.09062123,-0.00080459,1,0,1.94452042
2025-07-19 15:42:41,1,7,0.2724389,0.2724389,0.49999351,3.89059091,0.13617476,24.679,25.617,0.52791858,0.087584,-0.00018774,1,0,1.94527019
2025-07-19 15:43:41,1,7,0.2891472,0.2891472,0.49999424,3.89207467,0.14452882,24.693,25.645,0.56042703,0.08981544,0.00099233,1,0,1.94601493
2025-07-19 15:44:41,1,7,0.3058556,0.3058556,0.49999324,3.89354509,0.15288288,24.689,25.65,0.59294781,0.09130307,-0.00029502,1,0,1.94674621
2025-07-19 15:45:41,1,7,0.3225639,0.3225639,0.49999428,3.89500204,0.16123694,24.693,25.694,0.62548083,0.08770798,0.00104597,1,0,1.94747872
2025-07-19 15:46:41,1,7,0.3392722,0.3392722,0.49999357,3.89644294,0.169591,24.693,25.733,0.65802595,0.08622035,-0.0001341,1,0,1.94819643
2025-07-19 15:47:42,1,7,0.3559806,0.3559806,0.49999371,3.89787842,0.17794506,24.685,25.664,0.69058308,0.08628234,0.00016092,1,0,1.94891468
2025-07-19 15:48:42,1,7,0.3726889,0.3726889,0.49999324,3.89929686,0.18629912,24.695,25.636,0.72315213,0.08578647,-0.0001341,1,0,1.94962206
2025-07-19 15:49:42,1,7,0.3893972,0.3893972,0.4999927,3.90070429,0.19465318,24.708,25.611,0.75573298,0.08553853,-0.0004023,1,0,1.95032368
2025-07-19 15:50:42,1,7,0.4061056,0.4061056,0.499992,3.9020984,0.20300724,24.701,25.568,0.78832555,0.07983597,-0.00104597,1,0,1.95101797
2025-07-19 15:51:42,1,7,0.4228139,0.4228139,0.49999377,3.90348375,0.2113613,24.695,25.528,0.82092972,0.08138558,-0.00053639,1,0,1.95171757
2025-07-19 15:52:42,1,7,0.4395222,0.4395222,0.49999364,3.90485655,0.21971536,24.704,25.521,0.85354542,0.0805178,5.364e-05,1,0,1.95240344
2025-07-19 15:53:42,1,7,0.4562306,0.4562306,0.49999387,3.90622176,0.22806942,24.703,25.51,0.88617255,0.08126162,-5.364e-05,1,0,1.95308695
